City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Anito,PH,82.35,few clouds,12.4497,125.2886,The Yellow House
554,Sao Felix Do Xingu,BR,83.93,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
557,Luocheng,CN,76.84,clear sky,29.3848,104.0286,Luocheng Hotel
558,Igbo Ora,NG,83.32,overcast clouds,7.4333,3.2833,Pinkbell Inn
565,Belyy Yar,RU,76.89,clear sky,53.6039,91.3903,Pasportnyy Stol
567,Lasa,IT,80.62,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
569,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
572,Kuito,AO,76.6,clear sky,-12.3833,16.9333,Herdeiros de Antunes Capusso
577,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
579,Yuzhne,UA,80.82,clear sky,46.6221,31.1013,Чорноморська Симфонія
580,Catio,GW,83.5,moderate rain,11.2833,-15.25,Pausada Morabedja
582,Eskisehir,TR,80.51,scattered clouds,39.7767,30.5206,Hotel ibis Eskisehir
585,Menongue,AO,81.55,clear sky,-14.6585,17.691,Ritz Lauca
587,Lebanon,US,76.21,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
588,Dingle,PH,78.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
591,Bolshaya Martynovka,RU,84.56,clear sky,47.271,41.6679,Gostinitsa
597,Kudahuvadhoo,MV,83.41,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
598,Firminopolis,BR,75.81,clear sky,-16.5819,-50.305,Sol E Mar
600,Pokrovsk,UA,79.57,few clouds,48.282,37.1758,Druzhba
602,Lethem,GY,81.52,broken clouds,3.3803,-59.7968,Savannah Inn
604,Ghatanji,IN,76.96,light rain,20.1333,78.3167,गजानन माहराज मदील घाटजी
607,Yaan,NG,80.04,scattered clouds,7.3833,8.5667,
608,Port-Gentil,GA,82.36,overcast clouds,-0.7193,8.7815,Fengshui Residence
609,Bonthe,SL,77.68,moderate rain,7.5264,-12.505,Bonthe Holiday Village
613,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
615,Gasa,PS,89.89,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
617,Misratah,LY,85.96,clear sky,32.3754,15.0925,فندق الماسة
